name,brand,model,image_url,price,retail_price,colorway,sku,description,release_date,category,style_code,availability,rating,reviews_count,sizes,colors,gender,age_group,discount,is_featured,is_new,is_sale,url,main_color,series,occasion,inventory_count
(WMNS) Nike Air Rift 'Pearl White',Nike,IH7346-222,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_e97eb748-6554-430a-a4d0-7dc3a0a1ccd6_x480.jpg?v=1753774866,115,149,"Pearl White ,  Pearl White",IH7346-222,(WMNS) Nike Air Rift 'Pearl White',20251001,Sneakers,IH7346-222,in_stock,0,0,"6, 7, 8, 5, 9, 10","Pearl White ,  Pearl White",WOMENS,WOMENS,0,False,False,False,https://www.kickscrew.com/products/wmns-nike-air-rift-nike-air-rift-pearl-white-ih7346-222,pink,Air Rift,lifestyle,1
(WMNS) Nike Air Rift 'Botanical',Nike,IH7318-677,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_534c4900-a161-42fd-89d5-e32bf5a6f72a_x480.jpg?v=1752484217,165,750,"Team Red, Pale Ivory",IH7318-677,(WMNS) Nike Air Rift 'Botanical',20251001,Sneakers,IH7318-677,in_stock,0,0,"6, 7, 8, 11, 10, 5","Team Red, Pale Ivory",WOMENS,WOMENS,0,False,False,False,https://www.kickscrew.com/products/wmns-nike-air-rift-botanical-ih7318-677,red,Air Rift,lifestyle,1
Nike Dunk Low Panda Monium 'Green Curry',Nike,IB2263-300,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_526aa0cc-3d4e-4978-a40c-0b60959d6a4d_x480.jpg?v=1753077673,140,220,"Green Curry, Luminous Green, Bright Mango, Burnt Red",IB2263-300,Nike Dunk Low Panda Monium 'Green Curry',20251001,Sneakers,IB2263-300,in_stock,0,0,"8.5, 9, 8, 7.5, 9.5, 10.5, 11, 10, 11.5, 6.5, 7, 6, 12.5, 12","Green Curry, Luminous Green, Bright Mango, Burnt Red",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-dunk-low-panda-monium-green-curry-ib2263-300,multi-color,Dunk,lifestyle,1
Nike Dunk Low Panda Monium 'White Black',Nike,IB2263-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_73df135f-5b76-4925-ad5c-c6120bdad877_x480.jpg?v=1753077671,125,323,"White, Black, Gum Yellow",IB2263-100,Nike Dunk Low Panda Monium 'White Black',20251001,Sneakers,IB2263-100,in_stock,0,0,"8, 8.5, 7, 6, 6.5, 7.5, 9, 9.5, 10, 10.5, 11.5, 11, 12, 12.5, 13","White, Black, Gum Yellow",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-dunk-low-panda-monium-white-black-ib2263-100,multi-color,Dunk,lifestyle,1
Nike Dunk Low Panda 'Viotech',Nike,IB2990-500,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_80b1b977-1994-49c4-b157-df8c1e60a1ab_x480.jpg?v=1753068018,91,137,"Viotech, Pale Ivory, Veneer",IB2990-500,Nike Dunk Low Panda 'Viotech',20251001,Sneakers,IB2990-500,in_stock,0,0,"9.5, 8, 8.5, 9, 10, 10.5, 7.5, 11, 7, 12, 13, 11.5, 6.5, 6, 14, 12.5","Viotech, Pale Ivory, Veneer",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-dunk-low-panda-viotech-ib2990-500,green,Dunk,lifestyle,1
Nike x Jason Kidd Air Flightposite 'Mavericks',Nike,HJ4481-900,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_5edf3b76-9221-4a65-8550-21e1af5b6d4c_x480.jpg?v=1747382079,258,331,Midnight Navy,HJ4481-900,Nike x Jason Kidd Air Flightposite 'Mavericks',20251201,Sneakers,HJ4481-900,in_stock,0,0,"10.5, 10, 9.5, 8.5, 9, 8, 7, 7.5",Midnight Navy,MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-x-jason-kidd-air-flightposite-mavericks-hj4481-900,navy,Air Flightposite,lifestyle,1
Nike Hoops Elite Backpack 32L 'Pink Black',Nike,DX9786-699,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_9bcc7e7e-8bf2-4f04-91b0-930cc55b7b9c_x480.jpg?v=1743997072,168,168,"Elemental Pink, Black, Black",DX9786-699,Nike Hoops Elite Backpack 32L 'Pink Black',20250407,Bags,DX9786-699,in_stock,0,0,F,"Elemental Pink, Black, Black",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-hoops-elite-backpack-32l-pink-black-dx9786-699,pink,,basketball,1
Nike Zoom Kobe 6 Protro 'Total Orange',Nike,IH1871-800,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_6eabf466-f2da-4216-aaeb-36960cdd9c18_x480.jpg?v=1751861357,222,530,"Total Orange, Metallic Silver, Cosmic Clay",IH1871-800,Nike Zoom Kobe 6 Protro 'Total Orange',20250718,Sneakers,IH1871-800,in_stock,0,0,"5, 8, 9, 11.5, 11, 10.5, 7.5, 9.5, 13, 10, 8.5, 7, 12.5, 6, 4, 13.5, 6.5, 3.5, 14, 15, 12, 16, 17","Total Orange, Metallic Silver, Cosmic Clay",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-zoom-kobe-6-protro-wnba-ih1871-800,orange,Kobe,basketball,1
Nike Air Force 1 Low '07 'Triple White',Nike,CW2288-111,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_46a302f7-fa22-4da5-847c-909f81c85261_x480.jpg?v=1708766267,73,315,"White, White, White",CW2288-111,Nike Air Force 1 Low '07 'Triple White',20201208,Sneakers,CW2288-111,in_stock,0,0,"10, 7, 12, 9, 11, 11.5, 10.5, 13, 8.5, 8, 9.5, 6.5, 14, 7.5, 6, 15, 5.5, 18, 17, 12.5, 16, 4, 4.5","White, White, White",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-air-force-1-07-white-cw2288-111,white,Air Force,lifestyle,1
Nike Hoops Elite Backpack 32L 'Blue White',Nike,DX9786-480,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/1-square_c9e9e3d6-ede7-4783-9d31-47b5f7606281_x480.jpg?v=1735546965,110,110,"Blue, White",DX9786-480,Nike Hoops Elite Backpack 32L 'Blue White',20241230,Bags,DX9786-480,in_stock,0,0,F,"Blue, White",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-hoops-elite-backpack-32l-blue-white-dx9786-480,blue,,basketball,1
